Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg (10,377 lb)",GTO,,Success,F9 v1.1B1016[8],No attempt[89],27,April
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg (4,303 lb)[92]",LEO,NASA,Failure,F9 v1.1B1018[8],Precluded[94](drone ship),28,June
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg (4,484 lb)",LEO,Orbcomm,Success,F9 FTB1019.1[98],Success[99](ground pad),22,December
21,VAFB,Jason-3,"553 kg (1,219 lb)",LEO,NASA,Success,F9 v1.1B1017[8],Failure(drone ship),17,January
22,Cape Canaveral,SES-9,"5,271 kg (11,621 lb)",GTO,SES,Success,F9 FTB1020.1[108],Failure(drone ship),4,March
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg (6,914 lb)[116]",LEO,NASA,Success,F9 FTB1021.1[115],Success[118](drone ship),8,April
24,Cape Canaveral,JCSAT-14,"4,696 kg (10,353 lb)[124]",GTO,SKY Perfect JSAT Group,Success,F9 FTB1022.1[122],Success(drone ship),6,May
25,Cape Canaveral,Thaicom 8,"3,100 kg (6,800 lb)[132]",GTO,Thaicom,Success,F9 FTB1023.1[129],Success[133](drone ship),27,May
26,Cape Canaveral,ABS-2A,"3,600 kg (7,900 lb)",GTO,ABS,Success,F9 FTB1024.1[108],Failure[64](drone ship),15,June
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg (4,976 lb)[142]",LEO,NASA,Success,F9 FTB1025.1[129],Success(ground pad),18,July
28,Cape Canaveral,JCSAT-16,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,Success,F9 FTB1026.1[108],Success(drone ship),14,August
29,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,F9 FTB1029.1[151],Success[154](drone ship),14,January
30,KSC,SpaceX CRS-10,"2,490 kg (5,490 lb)[160]",LEO,NASA,Success,F9 FTB1031.1[8],Success(ground pad),19,February
31,KSC,EchoStar 23,"5,600 kg (12,300 lb)[164]",GTO,EchoStar,Success,F9 FTB1030.1[163],No attempt[165],16,March
32,KSC,SES-10,"5,300 kg (11,700 lb)[169]",GTO,SES,Success,F9 FT♺B1021.2[115],Success(drone ship),30,March
33,KSC,NROL-76,Classified,LEO,NRO,Success,F9 FTB1032.1[129],Success(ground pad),1,May
34,KSC,Inmarsat-5 F4,"6,070 kg (13,380 lb)[181]",GTO,Inmarsat,Success,F9 FTB1034.1[179],No attempt[165],15,May
35,KSC,SpaceX CRS-11,"2,708 kg (5,970 lb)[186]",LEO,NASA,Success,F9 FTB1035.1[185],Success(ground pad),3,June
36,KSC,BulgariaSat-1,"3,669 kg (8,089 lb)[197]",GTO,Bulsatcom,Success,F9 FT♺B1029.2[195],Success(drone ship),23,June
37,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",LEO,Iridium Communications,Success,F9 FTB1036.1[198],Success(drone ship),25,June
38,KSC,Intelsat 35e,"6,761 kg (14,905 lb)[202]",GTO,Intelsat,Success,F9 FTB1037.1[200],No attempt[165],5,July
39,KSC,SpaceX CRS-12,"3,310 kg (7,300 lb)",LEO,NASA,Success,F9 B4B1039.1[207],Success(ground pad),14,August
40,VAFB,Formosat-5,"475 kg (1,047 lb)[212]",SSO,NSPO,Success,F9 FTB1038.1[209],Success(drone ship),24,August
41,KSC,Boeing X-37B,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,USAF,Success,F9 B4B1040.1[108],Success(ground pad),7,September
42,VAFB,Iridium NEXT,"9,600 kg (21,200 lb)",Polar,Iridium Communications,Success,F9 B4B1041.1[219],Success(drone ship),9,October
43,KSC,SES-11,"5,200 kg (11,500 lb)",GTO,SES S.A.,Success,F9 FT♺B1031.2[220],Success(drone ship),11,October
